CITY,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Bridgewater,40.626247,-74.653535,32.9,8/15/2011,2.01
Bridgewater,40.626247,-74.653535,32.9,8/16/2011,0.86
Bridgewater,40.626247,-74.653535,32.9,8/17/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,8/18/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,8/19/2011,0.02
Bridgewater,40.626247,-74.653535,32.9,8/20/2011,0.6
Bridgewater,40.626247,-74.653535,32.9,8/21/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/22/2011,1.23
Bridgewater,40.626247,-74.653535,32.9,8/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/24/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/26/2011,0.56
Bridgewater,40.626247,-74.653535,32.9,8/27/2011,0.11
Bridgewater,40.626247,-74.653535,32.9,8/28/2011,7.15
Bridgewater,40.626247,-74.653535,32.9,8/29/2011,0.4
Bridgewater,40.626247,-74.653535,32.9,8/30/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/5/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,9/6/2011,0.37
Bridgewater,40.626247,-74.653535,32.9,9/7/2011,2.95
Bridgewater,40.626247,-74.653535,32.9,9/8/2011,2.8
Bridgewater,40.626247,-74.653535,32.9,9/9/2011,0.07
Bridgewater,40.626247,-74.653535,32.9,9/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/16/2011,0.26
Bridgewater,40.626247,-74.653535,32.9,9/17/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/19/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/21/2011,0.08
Bridgewater,40.626247,-74.653535,32.9,9/22/2011,0.08
Bridgewater,40.626247,-74.653535,32.9,9/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/24/2011,1.33
Bridgewater,40.626247,-74.653535,32.9,9/25/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,9/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,9/28/2011,0.63
Bridgewater,40.626247,-74.653535,32.9,9/29/2011,0.07
Bridgewater,40.626247,-74.653535,32.9,9/30/2011,0.08
Bridgewater,40.626247,-74.653535,32.9,10/1/2011,0.25
Bridgewater,40.626247,-74.653535,32.9,10/2/2011,0.5
Bridgewater,40.626247,-74.653535,32.9,10/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/5/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,10/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/7/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/8/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/13/2011,0.22
Bridgewater,40.626247,-74.653535,32.9,10/14/2011,0.18
Bridgewater,40.626247,-74.653535,32.9,10/15/2011,0.11
Bridgewater,40.626247,-74.653535,32.9,10/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/17/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/19/2011,0.15
Bridgewater,40.626247,-74.653535,32.9,10/20/2011,0.76
Bridgewater,40.626247,-74.653535,32.9,10/21/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/22/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/24/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,10/27/2011,0.09
Bridgewater,40.626247,-74.653535,32.9,10/28/2011,0.51
Bridgewater,40.626247,-74.653535,32.9,10/29/2011,0.02
Bridgewater,40.626247,-74.653535,32.9,10/30/2011,1.45
Bridgewater,40.626247,-74.653535,32.9,10/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/7/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/8/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/11/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,11/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/16/2011,0.04
Bridgewater,40.626247,-74.653535,32.9,11/17/2011,0.91
Bridgewater,40.626247,-74.653535,32.9,11/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/19/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/21/2011,0.15
Bridgewater,40.626247,-74.653535,32.9,11/22/2011,0.13
Bridgewater,40.626247,-74.653535,32.9,11/23/2011,1.98
Bridgewater,40.626247,-74.653535,32.9,11/24/2011,0.07
Bridgewater,40.626247,-74.653535,32.9,11/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,11/30/2011,0.67
Bridgewater,40.626247,-74.653535,32.9,12/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/6/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,12/7/2011,0.18
Bridgewater,40.626247,-74.653535,32.9,12/8/2011,2.16
Bridgewater,40.626247,-74.653535,32.9,12/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/17/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/19/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/21/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,12/22/2011,0.16
Bridgewater,40.626247,-74.653535,32.9,12/23/2011,0.81
Bridgewater,40.626247,-74.653535,32.9,12/24/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/28/2011,0.78
Bridgewater,40.626247,-74.653535,32.9,12/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,12/30/2011,0
