Zip,City,County,Year,Q1_avg_homeprice,Q2_avg_homeprice,Q3_avg_homeprice,Q4_avg_homeprice,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
07062,Plainfield,Union County,2021,331834.0,342377.6666666667,361865.0,375201.0,335781.0,362449.0,378721.0,332107.0,330561.0,356582.0,349480.0,332834.0,341872.0,374595.0,372287.0,366564.0
08512,Cranbury Township,Middlesex County,2021,510550.0,528204.3333333334,553425.3333333334,569113.3333333334,519646.0,553689.0,572639.0,509704.0,508246.0,545625.0,536142.0,513700.0,528825.0,568846.0,565855.0,560962.0
07885,Wharton,Morris County,2021,344502.0,359182.3333333333,371310.3333333333,377626.0,354222.0,371629.0,379546.0,344659.0,339983.0,368381.0,364118.0,348864.0,359207.0,377595.0,375737.0,373921.0
07932,Florham Park,Morris County,2021,709013.0,731609.0,745156.0,756748.3333333334,724801.0,744517.0,759707.0,709112.0,701897.0,741353.0,738161.0,716030.0,731865.0,757274.0,753264.0,749598.0
08051,Mantua Township,Gloucester County,2021,196237.66666666666,203085.66666666666,213979.0,222444.66666666666,200226.0,214311.0,224649.0,196329.0,193592.0,210286.0,206308.0,198792.0,202723.0,222635.0,220050.0,217340.0
08628,Ewing Township,Mercer County,2021,283513.0,297719.0,315095.3333333333,327029.6666666667,291570.0,315551.0,331352.0,283360.0,280155.0,310139.0,303699.0,287024.0,297888.0,326176.0,323561.0,319596.0
07974,New Providence,Union County,2021,665155.0,681211.3333333334,706791.0,722878.3333333334,674109.0,707877.0,727748.0,664784.0,662385.0,698114.0,689198.0,668296.0,680327.0,721415.0,719472.0,714382.0
08201,Absecon,Atlantic County,2021,208418.0,217500.66666666666,235388.0,248125.66666666666,213012.0,236068.0,250817.0,208730.0,206981.0,228343.0,222399.0,209543.0,217091.0,247746.0,245814.0,241753.0
07604,Hasbrouck Heights,Bergen County,2021,509798.6666666667,521447.6666666667,539247.3333333334,553943.3333333334,517898.0,540477.0,557733.0,509806.0,504358.0,532058.0,525764.0,515232.0,520681.0,554022.0,550075.0,545207.0
07009,Cedar Grove,Essex County,2021,546578.6666666666,556576.0,579563.6666666666,593409.3333333334,550998.0,579562.0,595053.0,548290.0,543015.0,573002.0,563648.0,548431.0,555082.0,594666.0,590509.0,586127.0
08620,Hamilton Township,Mercer County,2021,297853.0,312284.0,333082.0,343165.0,305173.0,333482.0,345804.0,297847.0,294832.0,327420.0,319095.0,300880.0,312584.0,342270.0,341421.0,338344.0
08079,Salem,Salem County,2021,124069.33333333333,132021.0,142111.0,149711.33333333334,128477.0,142180.0,152275.0,123918.0,122587.0,139040.0,135590.0,125703.0,131996.0,149554.0,147305.0,145113.0
07078,Short Hills,Essex County,2021,1615007.0,1628009.3333333333,1693762.3333333333,1745237.0,1619666.0,1695282.0,1754660.0,1620691.0,1608023.0,1668751.0,1641785.0,1616307.0,1622577.0,1746050.0,1735001.0,1717254.0
08103,Camden,Camden County,2021,69726.0,71480.0,76681.33333333333,81804.33333333333,70741.0,76805.0,83578.0,69767.0,68557.0,74121.0,72341.0,70854.0,71358.0,81656.0,80179.0,79118.0
07853,Long Valley,Morris County,2021,498859.6666666667,521867.6666666667,546439.6666666666,562065.3333333334,514355.0,546770.0,566758.0,498903.0,491281.0,539084.0,529556.0,506395.0,521692.0,562042.0,557396.0,553465.0
08824,South Brunswick Township,Middlesex County,2021,468928.3333333333,487962.0,506724.0,518884.0,480470.0,506340.0,523115.0,468496.0,465231.0,501310.0,494114.0,473058.0,489302.0,518417.0,515120.0,512522.0
07436,Oakland,Bergen County,2021,514435.0,530013.0,547616.6666666666,564397.0,525345.0,548238.0,569063.0,514479.0,508273.0,540415.0,534964.0,520553.0,529730.0,564530.0,559598.0,554197.0
07043,Montclair,Essex County,2021,921424.3333333334,936286.6666666666,984287.3333333334,1010240.0,928067.0,984993.0,1015473.0,925296.0,914583.0,969539.0,948446.0,924394.0,932347.0,1011891.0,1003356.0,998330.0
08629,Trenton,Mercer County,2021,142427.33333333334,149240.66666666666,156845.33333333334,164932.33333333334,146876.0,156620.0,166885.0,142456.0,140172.0,153791.0,151273.0,144654.0,149573.0,164987.0,162925.0,160125.0
07438,Jefferson Township,Morris County,2021,361620.6666666667,376629.6666666667,391174.3333333333,400701.6666666667,371047.0,391297.0,403568.0,361752.0,357505.0,387045.0,382368.0,365605.0,376474.0,400699.0,397838.0,395181.0
07922,Berkeley Heights,Union County,2021,640746.3333333334,653669.0,678056.6666666666,688533.0,645592.0,678867.0,688887.0,640613.0,639914.0,670755.0,662644.0,641712.0,652771.0,688004.0,688708.0,684548.0
07057,Wallington,Bergen County,2021,448903.0,462607.3333333333,481399.6666666667,491121.6666666667,457780.0,482733.0,492057.0,449332.0,443548.0,475280.0,468513.0,453829.0,461529.0,491561.0,489747.0,486186.0
