zipcode,State,CITY,CountyName,SizeRank,eom_date,month,year,avghomeprice_month,price_drop
08807,NJ,Bridgewater Township,Somerset County,2481,2004-05-31,5,2004,430471, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-05-31,5,2004,567306, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-05-31,5,2004,566067, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-06-30,6,2004,240463, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-06-30,6,2004,434972, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-06-30,6,2004,573336, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-06-30,6,2004,570372, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-07-31,7,2004,244926, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-07-31,7,2004,439264, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-07-31,7,2004,579009, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-07-31,7,2004,575626, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-08-31,8,2004,249945, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-08-31,8,2004,445237, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-08-31,8,2004,586665, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-08-31,8,2004,586546, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-09-30,9,2004,253716, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-09-30,9,2004,452879, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-09-30,9,2004,597052, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-09-30,9,2004,597682, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-10-31,10,2004,256724, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-10-31,10,2004,459962, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-10-31,10,2004,606471, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-10-31,10,2004,608412, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-11-30,11,2004,258451, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-11-30,11,2004,464467, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-11-30,11,2004,612739, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-11-30,11,2004,614559, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-12-31,12,2004,261292, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-12-31,12,2004,467095, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-12-31,12,2004,616073, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-12-31,12,2004,620220, 
